# x_um E_MeV dEdx_MeV_per_um
9.252313078269566726e-02 5.386937874791469127e+00 3.993457260934012432e-01
9.502375593898473860e-02 5.385939321038520688e+00 3.992975839303904984e-01
9.752438109527380994e-02 5.384940887532922105e+00 3.992495522644131656e-01
1.000250062515628813e-01 5.383942573998356629e+00 3.992016310954692448e-01
1.025256314078519665e-01 5.382944380158517284e+00 3.991538204235588472e-01
1.050262565641410378e-01 5.381946305737092651e+00 3.991061202486820836e-01
1.075268817204301092e-01 5.380948350457769536e+00 3.990585305708387875e-01
1.100275068767191805e-01 5.379950514044234744e+00 3.990110513900289035e-01
1.125281320330082518e-01 5.378952796220182186e+00 3.989636827062525981e-01
1.150287571892973232e-01 5.377955196709287122e+00 3.989164245195095382e-01
1.175293823455863945e-01 5.376957715235253232e+00 3.988692768298002234e-01
1.200300075018754659e-01 5.375960351521762881e+00 3.988222396371243761e-01
1.225306326581645372e-01 5.374963105292501986e+00 3.987753129414820519e-01
1.250312578144536224e-01 5.373965976271161793e+00 3.987284967428731952e-01
1.275318829707426938e-01 5.372968964181428220e+00 3.986817910412976396e-01
1.300325081270317651e-01 5.371972068746992512e+00 3.986351958367558290e-01
1.325331332833208364e-01 5.370975289691542365e+00 3.985887111292473750e-01
1.350337584396099078e-01 5.369978626738764582e+00 3.985423369187725551e-01
1.375343835958989791e-01 5.368982079612347746e+00 3.984960732053310917e-01
1.400350087521880504e-01 5.367985648035979551e+00 3.984499199889231513e-01
1.425356339084771218e-01 5.366989331733350355e+00 3.984038772695486785e-01
1.450362590647661931e-01 5.365993130428150515e+00 3.983579450472078398e-01
1.475368842210552645e-01 5.364997043844062397e+00 3.983121233219003576e-01
1.500375093773443358e-01 5.364001071704779910e+00 3.982664120936265095e-01
1.525381345336334071e-01 5.363005213733984533e+00 3.982208113623859069e-01
1.550387596899224785e-01 5.362009469655373728e+00 3.981753211281789384e-01
1.575393848462115498e-01 5.361013839192629860e+00 3.981299413910055485e-01
1.600400100025006211e-01 5.360018322069441510e+00 3.980846721508655706e-01
1.625406351587896925e-01 5.359022918009499037e+00 3.980395134077591157e-01
1.650412603150787638e-01 5.358027626736490134e+00 3.979944651616861839e-01
1.675418854713678352e-01 5.357032447974098943e+00 3.979495274126465532e-01
1.700425106276569065e-01 5.356037381446021151e+00 3.979047001606405565e-01
1.725431357839459778e-01 5.355042426875942674e+00 3.978599834056681384e-01
1.750437609402350492e-01 5.354047583987550318e+00 3.978153771477291878e-01
1.775443860965241205e-01 5.353052852504530001e+00 3.977708813868236493e-01
1.800450112528131918e-01 5.352058232150572969e+00 3.977264961229515783e-01
1.825456364091022632e-01 5.351063722649368692e+00 3.976822213561130859e-01
1.850462615653913345e-01 5.350069323724605752e+00 3.976380570863080610e-01
1.875468867216804059e-01 5.349075035099970066e+00 3.975940033135365037e-01
1.900475118779694772e-01 5.348080856499150215e+00 3.975500600377985250e-01
1.925481370342585485e-01 5.347086787645837447e+00 3.975062272590940138e-01
1.950487621905476199e-01 5.346092828263715013e+00 3.974625049774228591e-01
1.975493873468366912e-01 5.345098978076475049e+00 3.974188931927853385e-01
2.000500125031257626e-01 5.344105236807807024e+00 3.973753919051812300e-01
2.025506376594148616e-01 5.343111604181396856e+00 3.973320011146107000e-01
2.050512628157039330e-01 5.342118079920932239e+00 3.972887208210736931e-01
2.075518879719930043e-01 5.341124663750100865e+00 3.972455510245699872e-01
2.100525131282820757e-01 5.340131355392595758e+00 3.972024917250999154e-01
2.125531382845711470e-01 5.339138154572100170e+00 3.971595429226633667e-01
2.150537634408602183e-01 5.338145061012307124e+00 3.971167046172602300e-01
