# pressure_mbar thickness_mm thickness_um source avg_peak_channel avg_sys_unc avg_stat_unc avg_total_unc n_trials avg_energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
0.0156 0.002225 2.225 am 934.179 0.017 0.173 0.174 1 5.288 0.000 0.001 0.005 0.005
0.0156 0.002225 2.225 cm 988.113 0.905 1.005 1.353 1 5.609 0.005 0.006 0.005 0.010
0.0156 0.002225 2.225 pu 877.165 0.026 0.181 0.183 1 4.948 0.000 0.001 0.005 0.005
30.3000 4.321095 4321.095 am 874.158 1.344 1.435 1.966 1 4.931 0.008 0.009 0.005 0.013
30.3000 4.321095 4321.095 cm 928.591 0.049 0.473 0.476 1 5.255 0.000 0.003 0.005 0.006
30.3000 4.321095 4321.095 pu 814.674 0.021 0.278 0.279 1 4.576 0.000 0.002 0.004 0.005
60.7000 8.656452 8656.452 am 812.021 1.316 1.402 1.923 1 4.561 0.008 0.008 0.004 0.012
60.7000 8.656452 8656.452 cm 872.203 5.165 13.142 14.121 1 4.919 0.031 0.078 0.005 0.084
60.7000 8.656452 8656.452 pu 750.821 0.291 0.764 0.817 1 4.196 0.002 0.005 0.004 0.006
90.8000 12.949025 12949.025 am 777.248 0.101 0.668 0.676 1 4.354 0.001 0.004 0.004 0.006
90.8000 12.949025 12949.025 cm 840.210 4.353 7.053 8.288 1 4.728 0.026 0.042 0.005 0.050
90.8000 12.949025 12949.025 pu 713.466 1.571 1.671 2.293 1 3.974 0.009 0.010 0.004 0.014
109.0000 15.544535 15544.535 am 743.732 0.155 0.440 0.467 1 4.154 0.001 0.003 0.004 0.005
109.0000 15.544535 15544.535 cm 805.500 0.000 0.044 0.044 1 4.522 0.000 0.000 0.004 0.004
109.0000 15.544535 15544.535 pu 677.798 2.107 2.544 3.303 1 3.762 0.013 0.015 0.004 0.020
120.0000 17.113249 17113.249 am 721.540 0.177 0.684 0.706 1 4.022 0.001 0.004 0.004 0.006
120.0000 17.113249 17113.249 cm 786.489 1.394 2.958 3.270 1 4.409 0.008 0.018 0.004 0.020
120.0000 17.113249 17113.249 pu 657.508 0.078 0.692 0.696 1 3.641 0.000 0.004 0.004 0.006
135.0000 19.252406 19252.406 am 692.248 0.240 1.137 1.162 1 3.848 0.001 0.007 0.004 0.008
135.0000 19.252406 19252.406 cm 756.815 1.049 6.448 6.533 1 4.232 0.006 0.038 0.004 0.039
135.0000 19.252406 19252.406 pu 624.431 1.770 2.185 2.811 1 3.444 0.011 0.013 0.004 0.017
154.5000 22.033309 22033.309 am 653.431 1.452 1.635 2.187 1 3.616 0.009 0.010 0.004 0.014
154.5000 22.033309 22033.309 pu 580.636 0.322 1.023 1.073 1 3.183 0.002 0.006 0.004 0.007
167.0000 23.815939 23815.939 am 624.623 0.321 1.673 1.704 1 3.445 0.002 0.010 0.004 0.011
