# pressure_mbar thickness_mm thickness_um source avg_peak_channel avg_sys_unc avg_stat_unc avg_total_unc n_trials avg_energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
167.0000 23.815939 23815.939 pu 554.433 2.022 23.974 24.059 1 3.027 0.012 0.143 0.003 0.143
179.0000 25.527264 25527.264 am 602.310 0.571 1.137 1.272 1 3.312 0.003 0.007 0.004 0.008
179.0000 25.527264 25527.264 cm 675.600 4.104 4.643 6.197 1 3.748 0.024 0.028 0.004 0.037
179.0000 25.527264 25527.264 pu 526.918 0.033 0.355 0.357 1 2.863 0.000 0.002 0.003 0.004
209.0000 29.805576 29805.576 am 534.728 1.048 12.605 12.648 1 2.910 0.006 0.075 0.003 0.075
209.0000 29.805576 29805.576 cm 610.716 0.347 3.167 3.186 1 3.362 0.002 0.019 0.004 0.019
209.0000 29.805576 29805.576 pu 452.720 0.467 1.031 1.131 1 2.422 0.003 0.006 0.003 0.007
223.0000 31.802122 31802.122 am 504.344 1.883 4.125 4.534 1 2.729 0.011 0.025 0.003 0.027
223.0000 31.802122 31802.122 cm 579.804 2.345 7.693 8.043 1 3.178 0.014 0.046 0.004 0.048
223.0000 31.802122 31802.122 pu 415.262 0.611 2.581 2.652 1 2.199 0.004 0.015 0.003 0.016
239.0000 34.083888 34083.888 am 467.048 3.649 5.228 6.376 1 2.507 0.022 0.031 0.003 0.038
239.0000 34.083888 34083.888 cm 544.540 0.166 1.973 1.980 1 2.968 0.001 0.012 0.003 0.012
239.0000 34.083888 34083.888 pu 374.442 0.292 0.967 1.010 1 1.956 0.002 0.006 0.003 0.007
270.0000 38.504811 38504.811 am 383.000 0.000 1.000 1.000 1 2.006 0.000 0.006 0.003 0.007
270.0000 38.504811 38504.811 cm 469.164 1.038 3.900 4.036 1 2.519 0.006 0.023 0.003 0.024
270.0000 38.504811 38504.811 pu 280.412 0.566 4.157 4.195 1 1.396 0.003 0.025 0.003 0.025
287.0000 40.929188 40929.188 am 338.517 4.151 5.930 7.238 1 1.742 0.025 0.035 0.003 0.043
287.0000 40.929188 40929.188 cm 428.013 1.302 4.193 4.390 1 2.274 0.008 0.025 0.003 0.026
287.0000 40.929188 40929.188 pu 225.961 0.689 3.782 3.844 1 1.072 0.004 0.023 0.003 0.023
297.0000 42.355292 42355.292 am 304.237 2.097 3.432 4.022 1 1.538 0.012 0.020 0.003 0.024
297.0000 42.355292 42355.292 pu 191.907 0.000 5.441 5.441 1 0.869 0.000 0.032 0.003 0.032
328.0000 46.776215 46776.215 am 207.050 4.187 5.711 7.081 1 0.959 0.025 0.034 0.003 0.042
328.0000 46.776215 46776.215 cm 310.717 0.828 34.579 34.589 1 1.576 0.005 0.206 0.003 0.206
328.0000 46.776215 46776.215 pu 55.007 0.712 1.172 1.371 1 0.054 0.004 0.007 0.002 0.009
360.5000 51.411054 51411.054 am 54.678 0.680 2.981 3.058 1 0.052 0.004 0.018 0.002 0.018
