# filename pressure_mbar thickness_mm thickness_um source peak_channel sys_uncertainty stat_uncertainty total_uncertainty model energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
T179ar3.txt 179.0000 25.527264 25527.264 pu 526.918 0.033 0.354 0.355 ensemble 2.863 0.000 0.002 0.003 0.004
T179ar3.txt 179.0000 25.527264 25527.264 am 602.310 0.571 0.983 1.137 ensemble 3.312 0.003 0.006 0.004 0.008
T179ar3.txt 179.0000 25.527264 25527.264 cm 675.600 4.104 2.172 4.643 ensemble 3.748 0.024 0.013 0.004 0.028
T209ar3.txt 209.0000 29.805576 29805.576 pu 452.720 0.467 0.919 1.031 ensemble 2.422 0.003 0.005 0.003 0.007
T209ar3.txt 209.0000 29.805576 29805.576 am 534.728 1.048 12.561 12.605 ensemble 2.910 0.006 0.075 0.003 0.075
T209ar3.txt 209.0000 29.805576 29805.576 cm 610.716 0.347 3.148 3.167 ensemble 3.362 0.002 0.019 0.004 0.019
T223ar3.txt 223.0000 31.802122 31802.122 pu 415.262 0.611 2.508 2.581 ensemble 2.199 0.004 0.015 0.003 0.016
T223ar3.txt 223.0000 31.802122 31802.122 am 504.344 1.883 3.670 4.125 ensemble 2.729 0.011 0.022 0.003 0.025
T223ar3.txt 223.0000 31.802122 31802.122 cm 579.804 2.345 7.327 7.693 ensemble 3.178 0.014 0.044 0.004 0.046
T239ar3.txt 239.0000 34.083888 34083.888 pu 374.442 0.292 0.922 0.967 ensemble 1.956 0.002 0.005 0.003 0.006
T239ar3.txt 239.0000 34.083888 34083.888 am 467.048 3.649 3.745 5.228 ensemble 2.507 0.022 0.022 0.003 0.031
T239ar3.txt 239.0000 34.083888 34083.888 cm 544.540 0.166 1.966 1.973 ensemble 2.968 0.001 0.012 0.003 0.012
T270ar3.txt 270.0000 38.504811 38504.811 pu 280.412 0.566 4.119 4.157 ensemble 1.396 0.003 0.025 0.003 0.025
T270ar3.txt 270.0000 38.504811 38504.811 am 383.000 0.000 1.000 1.000 fallback 2.006 0.000 0.006 0.003 0.007
T270ar3.txt 270.0000 38.504811 38504.811 cm 469.164 1.038 3.760 3.900 ensemble 2.519 0.006 0.022 0.003 0.023
T287ar3.txt 287.0000 40.929188 40929.188 pu 225.961 0.689 3.718 3.782 ensemble 1.072 0.004 0.022 0.003 0.023
T287ar3.txt 287.0000 40.929188 40929.188 am 338.517 4.151 4.235 5.930 ensemble 1.742 0.025 0.025 0.003 0.035
T287ar3.txt 287.0000 40.929188 40929.188 cm 428.013 1.302 3.986 4.193 ensemble 2.274 0.008 0.024 0.003 0.025
T297ar3.txt 297.0000 42.355292 42355.292 pu 191.907 0.000 5.441 5.441 ensemble 0.869 0.000 0.032 0.003 0.032
T297ar3.txt 297.0000 42.355292 42355.292 am 304.237 2.097 2.717 3.432 ensemble 1.538 0.012 0.016 0.003 0.021
T328ar3.txt 328.0000 46.776215 46776.215 pu 55.007 0.712 0.931 1.172 ensemble 0.054 0.004 0.006 0.002 0.007
T328ar3.txt 328.0000 46.776215 46776.215 am 207.050 4.187 3.884 5.711 ensemble 0.959 0.025 0.023 0.003 0.034
T328ar3.txt 328.0000 46.776215 46776.215 cm 310.717 0.828 34.569 34.579 ensemble 1.576 0.005 0.206 0.003 0.206
T360_5ar3.txt 360.5000 51.411054 51411.054 am 54.678 0.680 2.903 2.981 ensemble 0.052 0.004 0.017 0.002 0.018
