# filename pressure_mbar thickness_mm thickness_um source peak_channel sys_uncertainty stat_uncertainty total_uncertainty model energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
T0_0156ar3.txt 0.0156 0.002225 2.225 pu 877.165 0.026 0.179 0.181 ensemble 4.948 0.000 0.001 0.005 0.005
T0_0156ar3.txt 0.0156 0.002225 2.225 am 934.179 0.017 0.172 0.173 ensemble 5.288 0.000 0.001 0.005 0.005
T0_0156ar3.txt 0.0156 0.002225 2.225 cm 988.113 0.905 0.435 1.005 ensemble 5.609 0.005 0.003 0.005 0.008
T30_3ar3.txt 30.3000 4.321095 4321.095 pu 814.674 0.021 0.277 0.278 ensemble 4.576 0.000 0.002 0.004 0.005
T30_3ar3.txt 30.3000 4.321095 4321.095 am 874.158 1.344 0.502 1.435 ensemble 4.931 0.008 0.003 0.005 0.010
T30_3ar3.txt 30.3000 4.321095 4321.095 cm 928.591 0.049 0.471 0.473 ensemble 5.255 0.000 0.003 0.005 0.006
T60_7ar3.txt 60.7000 8.656452 8656.452 pu 750.821 0.291 0.706 0.764 ensemble 4.196 0.002 0.004 0.004 0.006
T60_7ar3.txt 60.7000 8.656452 8656.452 am 812.021 1.316 0.483 1.402 ensemble 4.561 0.008 0.003 0.004 0.009
T60_7ar3.txt 60.7000 8.656452 8656.452 cm 872.203 5.165 12.085 13.142 ensemble 4.919 0.031 0.072 0.005 0.078
T90_8ar3.txt 90.8000 12.949025 12949.025 pu 713.466 1.571 0.569 1.671 ensemble 3.974 0.009 0.003 0.004 0.011
T90_8ar3.txt 90.8000 12.949025 12949.025 am 777.248 0.101 0.661 0.668 ensemble 4.354 0.001 0.004 0.004 0.006
T90_8ar3.txt 90.8000 12.949025 12949.025 cm 840.210 4.353 5.550 7.053 ensemble 4.728 0.026 0.033 0.005 0.042
T109ar3.txt 109.0000 15.544535 15544.535 pu 677.798 2.107 1.427 2.544 ensemble 3.762 0.013 0.008 0.004 0.016
T109ar3.txt 109.0000 15.544535 15544.535 am 743.732 0.155 0.412 0.440 ensemble 4.154 0.001 0.002 0.004 0.005
T109ar3.txt 109.0000 15.544535 15544.535 cm 805.500 0.000 0.044 0.044 ensemble 4.522 0.000 0.000 0.004 0.004
T120ar3.txt 120.0000 17.113249 17113.249 pu 657.508 0.078 0.688 0.692 ensemble 3.641 0.000 0.004 0.004 0.006
T120ar3.txt 120.0000 17.113249 17113.249 am 721.540 0.177 0.660 0.684 ensemble 4.022 0.001 0.004 0.004 0.006
T120ar3.txt 120.0000 17.113249 17113.249 cm 786.489 1.394 2.609 2.958 ensemble 4.409 0.008 0.016 0.004 0.018
T135ar3.txt 135.0000 19.252406 19252.406 pu 624.431 1.770 1.281 2.185 ensemble 3.444 0.011 0.008 0.004 0.014
T135ar3.txt 135.0000 19.252406 19252.406 am 692.248 0.240 1.112 1.137 ensemble 3.848 0.001 0.007 0.004 0.008
T135ar3.txt 135.0000 19.252406 19252.406 cm 756.815 1.049 6.362 6.448 ensemble 4.232 0.006 0.038 0.004 0.039
T154_5ar3.txt 154.5000 22.033309 22033.309 pu 580.636 0.322 0.971 1.023 ensemble 3.183 0.002 0.006 0.004 0.007
T154_5ar3.txt 154.5000 22.033309 22033.309 am 653.431 1.452 0.752 1.635 ensemble 3.616 0.009 0.004 0.004 0.010
T167ar3.txt 167.0000 23.815939 23815.939 pu 554.433 2.022 23.888 23.974 ensemble 3.027 0.012 0.142 0.003 0.143
T167ar3.txt 167.0000 23.815939 23815.939 am 624.623 0.321 1.642 1.673 ensemble 3.445 0.002 0.010 0.004 0.011
