# pressure_mbar thickness_mm thickness_um source avg_peak_channel avg_sys_unc avg_stat_unc avg_total_unc n_trials avg_energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
0.0035 0.000503 0.503 th 1498.666 3.377 4.635 5.734 1 4.690 0.011 0.015 0.003 0.018
11.1000 1.582976 1582.976 th 1443.731 3.695 5.657 6.756 1 4.518 0.012 0.018 0.003 0.021
22.3000 3.180212 3180.212 th 1391.190 1.160 2.240 2.523 1 4.354 0.004 0.007 0.002 0.008
33.3000 4.748927 4748.927 th 1346.229 2.461 3.632 4.387 1 4.213 0.008 0.011 0.002 0.014
44.0000 6.274858 6274.858 th 1287.673 0.814 4.163 4.242 1 4.030 0.003 0.013 0.002 0.013
54.9000 7.829312 7829.312 th 1239.984 3.951 5.496 6.769 1 3.880 0.012 0.017 0.002 0.021
65.2000 9.298199 9298.199 th 1179.629 2.635 3.323 4.241 1 3.691 0.008 0.010 0.002 0.013
76.9000 10.966741 10966.741 th 1120.093 0.659 1.286 1.445 1 3.505 0.002 0.004 0.002 0.005
88.0000 12.549716 12549.716 th 1063.151 3.438 4.584 5.730 1 3.326 0.011 0.014 0.002 0.018
98.7000 14.075648 14075.648 th 998.126 2.650 3.232 4.180 1 3.123 0.008 0.010 0.002 0.013
111.0000 15.829756 15829.756 th 922.585 2.330 5.883 6.328 1 2.886 0.007 0.018 0.002 0.020
122.0000 17.398470 17398.470 th 849.903 3.724 37.302 37.487 1 2.658 0.012 0.117 0.002 0.117
136.0000 19.395016 19395.016 th 758.623 5.354 7.454 9.177 1 2.372 0.017 0.023 0.002 0.029
146.0000 20.821120 20821.120 th 685.484 4.975 6.106 7.876 1 2.143 0.016 0.019 0.002 0.025
156.0000 22.247224 22247.224 th 584.304 0.565 4.273 4.310 1 1.826 0.002 0.013 0.002 0.014
168.0000 23.958549 23958.549 th 480.000 0.000 1.000 1.000 1 1.500 0.000 0.003 0.001 0.003
177.0000 25.242043 25242.043 th 401.094 2.659 8.825 9.217 1 1.253 0.008 0.028 0.001 0.029
189.0000 26.953368 26953.368 th 292.334 1.252 4.347 4.523 1 0.912 0.004 0.014 0.001 0.014
200.0000 28.522082 28522.082 th 178.629 4.587 6.675 8.100 1 0.556 0.014 0.021 0.001 0.025
