# filename pressure_mbar thickness_mm thickness_um source peak_channel sys_uncertainty stat_uncertainty total_uncertainty model energy_MeV energy_sys_unc energy_stat_unc energy_calib_unc energy_total_unc
T0_00353nit4.txt 0.0035 0.000503 0.503 th 1498.666 3.377 3.174 4.635 ensemble 4.690 0.011 0.010 0.003 0.015
T11_1nit4.txt 11.1000 1.582976 1582.976 th 1443.731 3.695 4.283 5.657 ensemble 4.518 0.012 0.013 0.003 0.018
T22_3nit4.txt 22.3000 3.180212 3180.212 th 1391.190 1.160 1.916 2.240 ensemble 4.354 0.004 0.006 0.002 0.007
T33_3nit4.txt 33.3000 4.748927 4748.927 th 1346.229 2.461 2.671 3.632 ensemble 4.213 0.008 0.008 0.002 0.012
T44nit4.txt 44.0000 6.274858 6274.858 th 1287.673 0.814 4.083 4.163 ensemble 4.030 0.003 0.013 0.002 0.013
T54_9nit4.txt 54.9000 7.829312 7829.312 th 1239.984 3.951 3.820 5.496 ensemble 3.880 0.012 0.012 0.002 0.017
T65_2nit4.txt 65.2000 9.298199 9298.199 th 1179.629 2.635 2.024 3.323 ensemble 3.691 0.008 0.006 0.002 0.011
T76_9nit4.txt 76.9000 10.966741 10966.741 th 1120.093 0.659 1.104 1.286 ensemble 3.505 0.002 0.003 0.002 0.005
T88nit4.txt 88.0000 12.549716 12549.716 th 1063.151 3.438 3.032 4.584 ensemble 3.326 0.011 0.009 0.002 0.015
T98_7nit4.txt 98.7000 14.075648 14075.648 th 998.126 2.650 1.851 3.232 ensemble 3.123 0.008 0.006 0.002 0.010
T111nit4.txt 111.0000 15.829756 15829.756 th 922.585 2.330 5.402 5.883 ensemble 2.886 0.007 0.017 0.002 0.019
T122nit4.txt 122.0000 17.398470 17398.470 th 849.903 3.724 37.115 37.302 ensemble 2.658 0.012 0.116 0.002 0.117
T136nit4.txt 136.0000 19.395016 19395.016 th 758.623 5.354 5.186 7.454 ensemble 2.372 0.017 0.016 0.002 0.023
T146nit4.txt 146.0000 20.821120 20821.120 th 685.484 4.975 3.540 6.106 ensemble 2.143 0.016 0.011 0.002 0.019
T156nit4.txt 156.0000 22.247224 22247.224 th 584.304 0.565 4.235 4.273 ensemble 1.826 0.002 0.013 0.002 0.013
T168nit4.txt 168.0000 23.958549 23958.549 th 480.000 0.000 1.000 1.000 fallback 1.500 0.000 0.003 0.001 0.003
T177nit4.txt 177.0000 25.242043 25242.043 th 401.094 2.659 8.415 8.825 ensemble 1.253 0.008 0.026 0.001 0.028
T189nit4.txt 189.0000 26.953368 26953.368 th 292.334 1.252 4.163 4.347 ensemble 0.912 0.004 0.013 0.001 0.014
T200nit4.txt 200.0000 28.522082 28522.082 th 178.629 4.587 4.849 6.675 ensemble 0.556 0.014 0.015 0.001 0.021
